u,v,length
68233225,68270356,113.256
68233225,68233223,132.027
68233225,68269272,97.572
68234435,68180759,194.989
68234435,68363766,137.752
68234435,68180752,279.61899999999997
68236311,68236315,194.196
68236311,68432329,109.595
68236311,5416016258,50.482
68236315,68236311,194.196
68236315,68225788,33.864
68236315,5423936117,34.366
68236827,68230580,306.358
68236827,68236871,82.95599999999999
68236827,68196643,178.562
68236827,68196645,266.582
68236871,68236827,82.95599999999999
68236871,8197464053,96.367
68236871,68360494,85.77199999999999
68237149,68310958,89.459
68237149,68166293,225.401
68237149,68245634,103.555
68237646,68237649,18.259
68237646,68178863,103.0
68237646,68306491,303.676
68237649,68237646,18.259
68237649,68237672,472.49799999999993
68237649,68237672,202.59699999999998
68237672,68237649,202.597
68237672,68237649,472.4980000000001
68237672,68373314,55.04600000000001
68237672,68313582,18.075
68238333,68282973,101.004
68238333,68238336,123.675
68238333,68211351,64.827
68238336,68238338,64.5
68238336,68307837,106.764
68238336,68238333,123.675
68238338,68238339,50.055
68238338,68238336,64.5
68238338,68211355,199.63699999999997
68238339,68238338,50.055
68238339,68307835,104.316
68238339,68238344,60.943999999999996
68238344,68210706,130.663
68238344,68238339,60.943999999999996
68238344,1594148694,123.40299999999999
68238358,68210706,125.764
68238358,68298411,107.343
68238358,68307832,102.857
68238650,68399082,98.136
68238650,68203920,36.266
68238650,68224302,198.946
68238672,68299171,105.9
68238672,68238681,175.702
68238672,68224302,176.08399999999997
68238672,68299173,123.64500000000001
68238681,68238716,319.76599999999996
68238681,68238672,175.702
68238681,68299171,259.37
68238716,68399145,141.934
68238716,68238681,319.766
68238716,68299178,257.529
68242955,68242957,120.343
68242955,68169771,140.996
68242955,68275384,591.484
68242957,68242955,120.343
68242957,68254228,122.669
68242957,68322203,405.916
68244563,68207713,131.247
68244563,68412643,98.746
68244563,68244570,59.341
68244570,68244563,59.341
68244570,68185285,142.653
68245557,68245559,106.124
68245557,68294095,119.671
68245557,68214105,123.175
68245557,68310954,221.026
68245559,68175478,105.462
68245559,68245557,106.124
68245559,68460189,103.554
68245559,68317394,121.323
68245562,68175478,107.249
68245562,68317396,123.291
68245562,68245575,183.833
68245575,68188924,47.539
68245575,68317396,88.07
68245575,68245562,183.833
68245630,68245634,224.036
68245630,68166293,93.285
68245630,68294102,99.203
68245634,68245630,224.036
68245634,5423936117,181.727
68245634,68216880,123.215
68245634,68237149,103.555
68245638,68225788,32.853
68245638,68216899,101.819
68245638,68245642,190.60999999999999
68245642,68245644,99.717
68245642,68245638,190.60999999999999
68245642,68216904,146.12
68245644,68245642,99.717
68245644,68188854,142.474
68245644,68245648,116.03399999999999
68245644,497400416,124.81500000000001
68245648,68245644,116.03399999999999
68248429,68200604,78.112
68248429,68196599,259.526
68248429,68273917,16.926000000000002
68248718,68204761,34.769
68248718,68334951,78.636
68248718,68248724,87.064
68248724,1142158909,207.90800000000002
68248724,68248718,87.064
68248749,1142158909,30.621
68248749,68248757,86.981
68248757,68248759,13.886
68248757,68248749,89.493
68248759,68248757,13.886
68248759,269928334,50.702000000000005
68248759,68299022,218.81799999999998
68248759,5604330222,379.44399999999996
68249334,68249346,238.913
68249334,68294093,203.73900000000003
68249334,69435788,108.17999999999999
68249346,68249334,238.91299999999998
68249346,68310950,224.47000000000003
68249346,69430353,84.84400000000001
68249586,68215811,197.861
68249586,68196330,85.079
68249586,68249616,31.098
68249599,68249610,191.399
68249599,68317403,86.449
68249599,68194501,106.881
68249610,68249599,191.399
68249616,68249618,78.225
68249616,68249586,31.098
68249616,68194522,103.706
68249618,68249616,78.225
68250906,68374068,75.352
68250906,68168815,223.956
68250906,68250927,20.152
68250916,68250917,122.115
68250916,68265032,192.921
68250916,68212386,77.30000000000001
68250917,68250916,122.115
68250927,68374066,101.084
68250927,68212384,348.534
68250927,68250906,20.152
